Pokemon,Card Type,Generation,Card Number,Price
OCTILLERY,REVERSE HOLO,AQUAPOLIS,026 OF 147,2.95
OCTILLERY,STANDARD,AQUAPOLIS,026 OF 147,1.95
PARASECT,REVERSE HOLO,AQUAPOLIS,027 OF 147,2.95
PARASECT,STANDARD,AQUAPOLIS,027 OF 147,1.95
PORYGON2,REVERSE HOLO,AQUAPOLIS,028 OF 147,3.5
PORYGON2,STANDARD,AQUAPOLIS,028 OF 147,2.5
PRIMEAPE,REVERSE HOLO,AQUAPOLIS,029 OF 147,2.95
PRIMEAPE,STANDARD,AQUAPOLIS,029 OF 147,1.95
QUAGSIRE,REVERSE HOLO,AQUAPOLIS,030 OF 147,2.95
QUAGSIRE,STANDARD,AQUAPOLIS,030 OF 147,1.95
RAPIDASH,REVERSE HOLO,AQUAPOLIS,031 OF 147,2.5
RAPIDASH,STANDARD,AQUAPOLIS,031 OF 147,1.5
SCIZOR,STANDARD,AQUAPOLIS,032 OF 147,17.99
SCIZOR,REVERSE HOLO,AQUAPOLIS,032 OF 147,2.95
SLOWBRO,REVERSE HOLO,AQUAPOLIS,033 OF 147,1.95
SLOWBRO,STANDARD,AQUAPOLIS,033 OF 147,0.95
SLOWKING,REVERSE HOLO,AQUAPOLIS,034 OF 147,2.5
SLOWKING,STANDARD,AQUAPOLIS,034 OF 147,1.5
STEELIX,REVERSE HOLO,AQUAPOLIS,035 OF 147,2.95
STEELIX,STANDARD,AQUAPOLIS,035 OF 147,1.95
SUDOWOODO,REVERSE HOLO,AQUAPOLIS,036 OF 147,3.5
SUDOWOODO,STANDARD,AQUAPOLIS,036 OF 147,2.5
SUICUNE,REVERSE HOLO,AQUAPOLIS,037 OF 147,4.95
SUICUNE,STANDARD,AQUAPOLIS,037 OF 147,3.95
TENTACRUEL,REVERSE HOLO,AQUAPOLIS,038 OF 147,2.5
TENTACRUEL,STANDARD,AQUAPOLIS,038 OF 147,1.5
TOGETIC,REVERSE HOLO,AQUAPOLIS,039 OF 147,2.5
TOGETIC,STANDARD,AQUAPOLIS,039 OF 147,1.5
TYRANITAR,REVERSE HOLO,AQUAPOLIS,040 OF 147,4.95
TYRANITAR,STANDARD,AQUAPOLIS,040 OF 147,3.95
UMBREON,REVERSE HOLO,AQUAPOLIS,041 OF 147,4.95
UMBREON,STANDARD,AQUAPOLIS,041 OF 147,3.95
VICTREEBEL,REVERSE HOLO,AQUAPOLIS,042 OF 147,2.5
VICTREEBEL,STANDARD,AQUAPOLIS,042 OF 147,1.5
VILEPLUME,REVERSE HOLO,AQUAPOLIS,043 OF 147,2.5
VILEPLUME,STANDARD,AQUAPOLIS,043 OF 147,1.5
ZAPDOS,REVERSE HOLO,AQUAPOLIS,044 OF 147,4.95
ZAPDOS,STANDARD,AQUAPOLIS,044 OF 147,3.95
BELLSPROUT,REVERSE HOLO,AQUAPOLIS,045 OF 147,0.95
BELLSPROUT,STANDARD,AQUAPOLIS,045 OF 147,0.5
DODRIO,REVERSE HOLO,AQUAPOLIS,046 OF 147,0.95
DODRIO,STANDARD,AQUAPOLIS,046 OF 147,0.5
FLAAFFY,REVERSE HOLO,AQUAPOLIS,047 OF 147,0.95
FLAAFFY,STANDARD,AQUAPOLIS,047 OF 147,0.5
FURRET,REVERSE HOLO,AQUAPOLIS,048 OF 147,0.95
FURRET,STANDARD,AQUAPOLIS,048 OF 147,0.5
GLOOM,REVERSE HOLO,AQUAPOLIS,049 OF 147,0.95
GLOOM,STANDARD,AQUAPOLIS,049 OF 147,0.5
GOLDUCK,REVERSE HOLO,AQUAPOLIS,050A OF 147,0.95
GOLDUCK,STANDARD,AQUAPOLIS,050A OF 147,0.5
GOLDUCK,REVERSE HOLO,AQUAPOLIS,050B OF 147,0.95
GOLDUCK,STANDARD,AQUAPOLIS,050B OF 147,0.5
GROWLITHE,REVERSE HOLO,AQUAPOLIS,051 OF 147,0.95
GROWLITHE,STANDARD,AQUAPOLIS,051 OF 147,0.5
MAGNEMITE,REVERSE HOLO,AQUAPOLIS,052 OF 147,0.95
MAGNEMITE,STANDARD,AQUAPOLIS,052 OF 147,0.5
MARILL,REVERSE HOLO,AQUAPOLIS,053 OF 147,1.5
MARILL,STANDARD,AQUAPOLIS,053 OF 147,0.75
MAROWAK,REVERSE HOLO,AQUAPOLIS,054 OF 147,0.95
MAROWAK,STANDARD,AQUAPOLIS,054 OF 147,0.5
NIDORINO,REVERSE HOLO,AQUAPOLIS,055 OF 147,0.95
NIDORINO,STANDARD,AQUAPOLIS,055 OF 147,0.5
PUPITAR,REVERSE HOLO,AQUAPOLIS,056 OF 147,0.95
PUPITAR,STANDARD,AQUAPOLIS,056 OF 147,0.5
SCYTHER,REVERSE HOLO,AQUAPOLIS,057 OF 147,1.5
SCYTHER,STANDARD,AQUAPOLIS,057 OF 147,0.75
SEADRA,REVERSE HOLO,AQUAPOLIS,058 OF 147,0.95
SEADRA,STANDARD,AQUAPOLIS,058 OF 147,0.5
SEAKING,REVERSE HOLO,AQUAPOLIS,059 OF 147,0.95
SEAKING,STANDARD,AQUAPOLIS,059 OF 147,0.5
SKIPLOOM,REVERSE HOLO,AQUAPOLIS,060 OF 147,0.95
SKIPLOOM,STANDARD,AQUAPOLIS,060 OF 147,0.5
SMOOCHUM,REVERSE HOLO,AQUAPOLIS,061 OF 147,0.95
SMOOCHUM,STANDARD,AQUAPOLIS,061 OF 147,0.5
SPINARAK,REVERSE HOLO,AQUAPOLIS,062 OF 147,0.95
SPINARAK,STANDARD,AQUAPOLIS,062 OF 147,0.5
TYROGUE,REVERSE HOLO,AQUAPOLIS,063 OF 147,0.95
TYROGUE,STANDARD,AQUAPOLIS,063 OF 147,0.5
VOLTORB,REVERSE HOLO,AQUAPOLIS,064 OF 147,0.95
VOLTORB,STANDARD,AQUAPOLIS,064 OF 147,0.5
WEEPINBELL,REVERSE HOLO,AQUAPOLIS,065 OF 147,0.95
WEEPINBELL,STANDARD,AQUAPOLIS,065 OF 147,0.5
WOOPER,REVERSE HOLO,AQUAPOLIS,066 OF 147,1.5
WOOPER,STANDARD,AQUAPOLIS,066 OF 147,0.75
AIPOM,REVERSE HOLO,AQUAPOLIS,067 OF 147,0.5
AIPOM,STANDARD,AQUAPOLIS,067 OF 147,0.2
BELLSPROUT,REVERSE HOLO,AQUAPOLIS,068 OF 147,0.5
BELLSPROUT,STANDARD,AQUAPOLIS,068 OF 147,0.2
CHANSEY,REVERSE HOLO,AQUAPOLIS,069 OF 147,0.5
CHANSEY,STANDARD,AQUAPOLIS,069 OF 147,0.2
CHINCHOU,REVERSE HOLO,AQUAPOLIS,070 OF 147,0.5
CHINCHOU,STANDARD,AQUAPOLIS,070 OF 147,0.2
CHINCHOU,REVERSE HOLO,AQUAPOLIS,071 OF 147,0.5
CHINCHOU,STANDARD,AQUAPOLIS,071 OF 147,0.2
CUBONE,REVERSE HOLO,AQUAPOLIS,072 OF 147,0.5
CUBONE,STANDARD,AQUAPOLIS,072 OF 147,0.2
DODUO,REVERSE HOLO,AQUAPOLIS,073 OF 147,0.5
DODUO,STANDARD,AQUAPOLIS,073 OF 147,0.2
DROWZEE,REVERSE HOLO,AQUAPOLIS,074A OF 147,0.5
DROWZEE,STANDARD,AQUAPOLIS,074A OF 147,0.2
DROWZEE,STANDARD,AQUAPOLIS,074B OF 147,2.99
DROWZEE,REVERSE HOLO,AQUAPOLIS,074B OF 147,0.5
EEVEE,REVERSE HOLO,AQUAPOLIS,075 OF 147,89.99
EEVEE,STANDARD,AQUAPOLIS,075 OF 147,14.99
EXEGGCUTE,REVERSE HOLO,AQUAPOLIS,076 OF 147,0.5
EXEGGCUTE,STANDARD,AQUAPOLIS,076 OF 147,0.2
EXEGGCUTE,REVERSE HOLO,AQUAPOLIS,077 OF 147,0.5
EXEGGCUTE,STANDARD,AQUAPOLIS,077 OF 147,0.2
GOLDEEN,REVERSE HOLO,AQUAPOLIS,078 OF 147,0.5
GOLDEEN,STANDARD,AQUAPOLIS,078 OF 147,0.2
GRIMER,REVERSE HOLO,AQUAPOLIS,079 OF 147,0.5
GRIMER,STANDARD,AQUAPOLIS,079 OF 147,0.2
GROWLITHE,REVERSE HOLO,AQUAPOLIS,080 OF 147,0.5
GROWLITHE,STANDARD,AQUAPOLIS,080 OF 147,0.2
HITMONCHAN,STANDARD,AQUAPOLIS,081 OF 147,5.99
HITMONCHAN,REVERSE HOLO,AQUAPOLIS,081 OF 147,0.5
HITMONTOP,REVERSE HOLO,AQUAPOLIS,082 OF 147,0.5
HITMONTOP,STANDARD,AQUAPOLIS,082 OF 147,0.2
HOPPIP,REVERSE HOLO,AQUAPOLIS,083 OF 147,0.5
HOPPIP,STANDARD,AQUAPOLIS,083 OF 147,0.2
HORSEA,REVERSE HOLO,AQUAPOLIS,084 OF 147,0.5
HORSEA,STANDARD,AQUAPOLIS,084 OF 147,0.2
HORSEA,REVERSE HOLO,AQUAPOLIS,085 OF 147,0.5
HORSEA,STANDARD,AQUAPOLIS,085 OF 147,0.2
HOUNDOUR,REVERSE HOLO,AQUAPOLIS,086 OF 147,0.5
HOUNDOUR,STANDARD,AQUAPOLIS,086 OF 147,0.2
HOUNDOUR,REVERSE HOLO,AQUAPOLIS,087 OF 147,0.5
HOUNDOUR,STANDARD,AQUAPOLIS,087 OF 147,0.2
KANGASKHAN,REVERSE HOLO,AQUAPOLIS,088 OF 147,0.5
KANGASKHAN,STANDARD,AQUAPOLIS,088 OF 147,0.2
LARVITAR,REVERSE HOLO,AQUAPOLIS,089 OF 147,0.5
LARVITAR,STANDARD,AQUAPOLIS,089 OF 147,0.2
LICKITUNG,REVERSE HOLO,AQUAPOLIS,090 OF 147,0.5
LICKITUNG,STANDARD,AQUAPOLIS,090 OF 147,0.2
MAGNEMITE,REVERSE HOLO,AQUAPOLIS,091 OF 147,0.5
MAGNEMITE,STANDARD,AQUAPOLIS,091 OF 147,0.2
MANKEY,REVERSE HOLO,AQUAPOLIS,092 OF 147,0.5
MANKEY,STANDARD,AQUAPOLIS,092 OF 147,0.2
MAREEP,REVERSE HOLO,AQUAPOLIS,093 OF 147,0.5
MAREEP,STANDARD,AQUAPOLIS,093 OF 147,0.2
MILTANK,REVERSE HOLO,AQUAPOLIS,094 OF 147,0.5
MILTANK,STANDARD,AQUAPOLIS,094 OF 147,0.2
MR. MIME,REVERSE HOLO,AQUAPOLIS,095A OF 147,0.5
MR. MIME,STANDARD,AQUAPOLIS,095A OF 147,0.2
MR. MIME,REVERSE HOLO,AQUAPOLIS,095B OF 147,0.5
MR. MIME,STANDARD,AQUAPOLIS,095B OF 147,0.2
NIDORAN M,REVERSE HOLO,AQUAPOLIS,096 OF 147,0.5
NIDORAN M,STANDARD,AQUAPOLIS,096 OF 147,0.2
ODDISH,REVERSE HOLO,AQUAPOLIS,097 OF 147,0.5
ODDISH,STANDARD,AQUAPOLIS,097 OF 147,0.2
ONIX,REVERSE HOLO,AQUAPOLIS,098 OF 147,0.5
ONIX,STANDARD,AQUAPOLIS,098 OF 147,0.2
PARAS,REVERSE HOLO,AQUAPOLIS,099 OF 147,0.5
PARAS,STANDARD,AQUAPOLIS,099 OF 147,0.2
PHANPY,REVERSE HOLO,AQUAPOLIS,100 OF 147,0.5
PHANPY,STANDARD,AQUAPOLIS,100 OF 147,0.2
PINSIR,REVERSE HOLO,AQUAPOLIS,101 OF 147,0.5
PINSIR,STANDARD,AQUAPOLIS,101 OF 147,0.2
PONYTA,STANDARD,AQUAPOLIS,102 OF 147,2.99
PONYTA,REVERSE HOLO,AQUAPOLIS,102 OF 147,0.5
PORYGON,REVERSE HOLO,AQUAPOLIS,103A OF 147,0.5
PORYGON,STANDARD,AQUAPOLIS,103A OF 147,0.2
PORYGON,REVERSE HOLO,AQUAPOLIS,103B OF 147,0.5
PORYGON,STANDARD,AQUAPOLIS,103B OF 147,0.2
PSYDUCK,REVERSE HOLO,AQUAPOLIS,104 OF 147,0.5
PSYDUCK,STANDARD,AQUAPOLIS,104 OF 147,0.2
REMORAID,REVERSE HOLO,AQUAPOLIS,105 OF 147,0.5
REMORAID,STANDARD,AQUAPOLIS,105 OF 147,0.2
SCYTHER,REVERSE HOLO,AQUAPOLIS,106 OF 147,0.5
SCYTHER,STANDARD,AQUAPOLIS,106 OF 147,0.2
SENTRET,REVERSE HOLO,AQUAPOLIS,107 OF 147,0.5
SENTRET,STANDARD,AQUAPOLIS,107 OF 147,0.2
SLOWPOKE,REVERSE HOLO,AQUAPOLIS,108 OF 147,0.5
SLOWPOKE,STANDARD,AQUAPOLIS,108 OF 147,0.2
SMEARGLE,REVERSE HOLO,AQUAPOLIS,109 OF 147,0.5
SMEARGLE,STANDARD,AQUAPOLIS,109 OF 147,0.2
SNEASEL,REVERSE HOLO,AQUAPOLIS,110 OF 147,0.5
SNEASEL,STANDARD,AQUAPOLIS,110 OF 147,0.2
SPINARAK,REVERSE HOLO,AQUAPOLIS,111 OF 147,0.5
SPINARAK,STANDARD,AQUAPOLIS,111 OF 147,0.2
TANGELA,REVERSE HOLO,AQUAPOLIS,112 OF 147,0.5
TANGELA,STANDARD,AQUAPOLIS,112 OF 147,0.2
TENTACOOL,REVERSE HOLO,AQUAPOLIS,113 OF 147,0.5
TENTACOOL,STANDARD,AQUAPOLIS,113 OF 147,0.2
TOGEPI,REVERSE HOLO,AQUAPOLIS,114 OF 147,0.5
TOGEPI,STANDARD,AQUAPOLIS,114 OF 147,0.2
VOLTORB,REVERSE HOLO,AQUAPOLIS,115 OF 147,0.5
VOLTORB,STANDARD,AQUAPOLIS,115 OF 147,0.2
VULPIX,REVERSE HOLO,AQUAPOLIS,116 OF 147,0.5
VULPIX,STANDARD,AQUAPOLIS,116 OF 147,0.2
WOOPER,REVERSE HOLO,AQUAPOLIS,117 OF 147,0.5
WOOPER,STANDARD,AQUAPOLIS,117 OF 147,0.2
APRICORN FOREST,REVERSE HOLO,AQUAPOLIS,118 OF 147,2.95
APRICORN FOREST,STANDARD,AQUAPOLIS,118 OF 147,1.95
DARKNESS CUBE 01,REVERSE HOLO,AQUAPOLIS,119 OF 147,0.95
DARKNESS CUBE 01,STANDARD,AQUAPOLIS,119 OF 147,0.5
ENERGY SWITCH,REVERSE HOLO,AQUAPOLIS,120 OF 147,3.95
ENERGY SWITCH,STANDARD,AQUAPOLIS,120 OF 147,1.5
FIGHTING CUBE 01,REVERSE HOLO,AQUAPOLIS,121 OF 147,0.95
FIGHTING CUBE 01,STANDARD,AQUAPOLIS,121 OF 147,0.5
FIRE CUBE 01,REVERSE HOLO,AQUAPOLIS,122 OF 147,0.95
FIRE CUBE 01,STANDARD,AQUAPOLIS,122 OF 147,0.5
FOREST GUARDIAN,REVERSE HOLO,AQUAPOLIS,123 OF 147,0.95
FOREST GUARDIAN,STANDARD,AQUAPOLIS,123 OF 147,0.5
GRASS CUBE 01,STANDARD,AQUAPOLIS,124 OF 147,3.99
GRASS CUBE 01,REVERSE HOLO,AQUAPOLIS,124 OF 147,0.95
HEALING BERRY,REVERSE HOLO,AQUAPOLIS,125 OF 147,0.95
HEALING BERRY,STANDARD,AQUAPOLIS,125 OF 147,0.5
JUGGLER,REVERSE HOLO,AQUAPOLIS,126 OF 147,0.95
JUGGLER,STANDARD,AQUAPOLIS,126 OF 147,0.5
LIGHTNING CUBE 01,REVERSE HOLO,AQUAPOLIS,127 OF 147,0.95
LIGHTNING CUBE 01,STANDARD,AQUAPOLIS,127 OF 147,0.5
MEMORY BERRY,REVERSE HOLO,AQUAPOLIS,128 OF 147,0.95
MEMORY BERRY,STANDARD,AQUAPOLIS,128 OF 147,0.5
METAL CUBE 01,STANDARD,AQUAPOLIS,129 OF 147,3.99
METAL CUBE 01,REVERSE HOLO,AQUAPOLIS,129 OF 147,0.95
POKEMON FAN CLUB,REVERSE HOLO,AQUAPOLIS,130 OF 147,1.5
POKEMON FAN CLUB,STANDARD,AQUAPOLIS,130 OF 147,0.75
POKEMON PARK,REVERSE HOLO,AQUAPOLIS,131 OF 147,2.5
POKEMON PARK,STANDARD,AQUAPOLIS,131 OF 147,1.5
PSYCHIC CUBE 01,REVERSE HOLO,AQUAPOLIS,132 OF 147,0.95
PSYCHIC CUBE 01,STANDARD,AQUAPOLIS,132 OF 147,0.5
SEER,REVERSE HOLO,AQUAPOLIS,133 OF 147,0.95
SEER,STANDARD,AQUAPOLIS,133 OF 147,0.5
SUPER ENERGY REMOVAL 2,STANDARD,AQUAPOLIS,134 OF 147,4.99
SUPER ENERGY REMOVAL 2,REVERSE HOLO,AQUAPOLIS,134 OF 147,0.95
TIME SHARD,REVERSE HOLO,AQUAPOLIS,135 OF 147,0.95
TIME SHARD,STANDARD,AQUAPOLIS,135 OF 147,0.5
TOWN VOLUNTEERS,REVERSE HOLO,AQUAPOLIS,136 OF 147,0.95
TOWN VOLUNTEERS,STANDARD,AQUAPOLIS,136 OF 147,0.5
TRAVELING SALESMAN,REVERSE HOLO,AQUAPOLIS,137 OF 147,0.95
TRAVELING SALESMAN,STANDARD,AQUAPOLIS,137 OF 147,0.5
UNDERSEA RUINS,REVERSE HOLO,AQUAPOLIS,138 OF 147,0.95
UNDERSEA RUINS,STANDARD,AQUAPOLIS,138 OF 147,0.5
POWER PLANT,REVERSE HOLO,AQUAPOLIS,139 OF 147,2.5
POWER PLANT,STANDARD,AQUAPOLIS,139 OF 147,1.5
WATER CUBE 01,REVERSE HOLO,AQUAPOLIS,140 OF 147,0.95
WATER CUBE 01,STANDARD,AQUAPOLIS,140 OF 147,0.5
WEAKNESS GUARD,STANDARD,AQUAPOLIS,141 OF 147,5.99
WEAKNESS GUARD,REVERSE HOLO,AQUAPOLIS,141 OF 147,2.5
DARKNESS ENERGY,SPECIAL,AQUAPOLIS,142 OF 147,3.5
DARKNESS ENERGY,SPECIAL,AQUAPOLIS,142 OF 147,2.5
METAL ENERGY,SPECIAL,AQUAPOLIS,143 OF 147,3.5
METAL ENERGY,SPECIAL,AQUAPOLIS,143 OF 147,2.5
RAINBOW ENERGY,REVERSE HOLO,AQUAPOLIS,144 OF 147,3.5
RAINBOW ENERGY,STANDARD,AQUAPOLIS,144 OF 147,2.5
BOOST ENERGY,STANDARD,AQUAPOLIS,145 OF 147,4.75
BOOST ENERGY,REVERSE HOLO,AQUAPOLIS,145 OF 147,2.95
CRYSTAL ENERGY,STANDARD,AQUAPOLIS,146 OF 147,3.99
CRYSTAL ENERGY,REVERSE HOLO,AQUAPOLIS,146 OF 147,3.5
WARP ENERGY,REVERSE HOLO,AQUAPOLIS,147 OF 147,2.95
WARP ENERGY,STANDARD,AQUAPOLIS,147 OF 147,1.95
KINGDRA,STANDARD,AQUAPOLIS,148 OF 147,31.95
LUGIA,STANDARD,AQUAPOLIS,149 OF 147,44.95
NIDOKING,STANDARD,AQUAPOLIS,150 OF 147,34.95
AMPHAROS,STANDARD,AQUAPOLIS,H01 OF H32,7.95
ARCANINE,STANDARD,AQUAPOLIS,H02 OF H32,9.95
ARIADOS,STANDARD,AQUAPOLIS,H03 OF H32,7.95
AZUMARILL,STANDARD,AQUAPOLIS,H04 OF H32,5.95
BELLOSSOM,STANDARD,AQUAPOLIS,H05 OF H32,7.95
BLISSEY,STANDARD,AQUAPOLIS,H06 OF H32,5.95
ELECTRODE,STANDARD,AQUAPOLIS,H07 OF H32,4.95
ENTEI,STANDARD,AQUAPOLIS,H08 OF H32,14.95
ESPEON,STANDARD,AQUAPOLIS,H09 OF H32,119.99
EXEGGUTOR,STANDARD,AQUAPOLIS,H10 OF H32,5.95
HOUNDOOM,STANDARD,AQUAPOLIS,H11 OF H32,11.95
HYPNO,STANDARD,AQUAPOLIS,H12 OF H32,6.95
JUMPLUFF,STANDARD,AQUAPOLIS,H13 OF H32,4.95
KINGDRA,STANDARD,AQUAPOLIS,H14 OF H32,7.95
LANTURN,STANDARD,AQUAPOLIS,H15 OF H32,5.95
MAGNETON,STANDARD,AQUAPOLIS,H16 OF H32,5.95
MUK,STANDARD,AQUAPOLIS,H17 OF H32,6.95
NIDOKING,STANDARD,AQUAPOLIS,H18 OF H32,7.95
NINETALES,STANDARD,AQUAPOLIS,H19 OF H32,6.95
OCTILLERY,STANDARD,AQUAPOLIS,H20 OF H32,5.95
SCIZOR,STANDARD,AQUAPOLIS,H21 OF H32,5.95
SLOWKING,STANDARD,AQUAPOLIS,H22 OF H32,6.95
STEELIX,STANDARD,AQUAPOLIS,H23 OF H32,7.95
SUDOWOODO,STANDARD,AQUAPOLIS,H24 OF H32,4.95
SUICUNE,STANDARD,AQUAPOLIS,H25 OF H32,9.95
TENTACRUEL,STANDARD,AQUAPOLIS,H26 OF H32,5.95
TOGETIC,STANDARD,AQUAPOLIS,H27 OF H32,5.95
TYRANITAR,STANDARD,AQUAPOLIS,H28 OF H32,11.95
UMBREON,STANDARD,AQUAPOLIS,H29 OF H32,14.95
VICTREEBEL,STANDARD,AQUAPOLIS,H30 OF H32,3.95
VILEPLUME,STANDARD,AQUAPOLIS,H31 OF H32,3.95
ZAPDOS,STANDARD,AQUAPOLIS,H32 OF H32,14.95
CHARIZARD,STANDARD,ARCEUS,01 OF 99,7.95
CHARIZARD,REVERSE HOLO,ARCEUS,01 OF 99,7.95
FROSLASS,STANDARD,ARCEUS,02 OF 99,2.5
FROSLASS,REVERSE HOLO,ARCEUS,02 OF 99,2.5
HEATRAN,STANDARD,ARCEUS,03 OF 99,2.5
HEATRAN,REVERSE HOLO,ARCEUS,03 OF 99,2.5
KABUTOPS,STANDARD,ARCEUS,04 OF 99,2.95
KABUTOPS,REVERSE HOLO,ARCEUS,04 OF 99,2.95
LUXRAY,STANDARD,ARCEUS,05 OF 99,2.5
LUXRAY,REVERSE HOLO,ARCEUS,05 OF 99,2.5
MOTHIM,STANDARD,ARCEUS,06 OF 99,2.5
MOTHIM,REVERSE HOLO,ARCEUS,06 OF 99,2.5
PROBOPASS,STANDARD,ARCEUS,07 OF 99,1.95
PROBOPASS,REVERSE HOLO,ARCEUS,07 OF 99,1.95
SALAMENCE,STANDARD,ARCEUS,08 OF 99,3.95
SALAMENCE,REVERSE HOLO,ARCEUS,08 OF 99,3.95
SWALOT,STANDARD,ARCEUS,09 OF 99,2.5
SWALOT,REVERSE HOLO,ARCEUS,09 OF 99,2.5
TANGROWTH,STANDARD,ARCEUS,10 OF 99,1.95
TANGROWTH,REVERSE HOLO,ARCEUS,10 OF 99,1.95
TOXICROAK,STANDARD,ARCEUS,11 OF 99,2.95
TOXICROAK,REVERSE HOLO,ARCEUS,11 OF 99,2.95
ZAPDOS G,STANDARD,ARCEUS,12 OF 99,2.95
ZAPDOS G,REVERSE HOLO,ARCEUS,12 OF 99,2.95
AERODACTYL,REVERSE HOLO,ARCEUS,13 OF 99,1.5
AERODACTYL,STANDARD,ARCEUS,13 OF 99,0.95
BRONZONG,REVERSE HOLO,ARCEUS,14 OF 99,1.5
BRONZONG,STANDARD,ARCEUS,14 OF 99,0.95
CHERRIM,REVERSE HOLO,ARCEUS,15 OF 99,1.5
CHERRIM,STANDARD,ARCEUS,15 OF 99,0.95
GENGAR,REVERSE HOLO,ARCEUS,16 OF 99,1.5
GENGAR,STANDARD,ARCEUS,16 OF 99,0.95
GENGAR,REVERSE HOLO,ARCEUS,17 OF 99,1.5
GENGAR,STANDARD,ARCEUS,17 OF 99,0.95
GLALIE,REVERSE HOLO,ARCEUS,18 OF 99,1.5
GLALIE,STANDARD,ARCEUS,18 OF 99,0.95
GOLEM,REVERSE HOLO,ARCEUS,19 OF 99,1.5
GOLEM,STANDARD,ARCEUS,19 OF 99,0.95
HARIYAMA,REVERSE HOLO,ARCEUS,20 OF 99,1.5
HARIYAMA,STANDARD,ARCEUS,20 OF 99,0.95
LOPUNNY,REVERSE HOLO,ARCEUS,21 OF 99,1.5
LOPUNNY,STANDARD,ARCEUS,21 OF 99,0.95
MANECTRIC,REVERSE HOLO,ARCEUS,22 OF 99,1.5
MANECTRIC,STANDARD,ARCEUS,22 OF 99,0.95
OMASTAR,REVERSE HOLO,ARCEUS,23 OF 99,1.5
OMASTAR,STANDARD,ARCEUS,23 OF 99,0.95
