name,number,tcgplayer_market_price_usd,api_price_usd,delta_usd,matched,notes
Pikachu - 025/165,025,0.24,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Magnemite,081,0.11,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Slowpoke,079,0.12,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Charmander - 004/165,004,0.18,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Wartortle - 008/165,008,0.23,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Snorlax,143,0.2,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Code Card - 151 Booster Pack,,0.03,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Beedrill,015,0.19,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Chansey,113,0.27,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Gastly,092,0.11,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Mew ex - 151/165,151,9.39,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Articuno,144,0.3,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Kabutops,141,0.25,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Gyarados,130,0.32,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Mr. Mime - 122/165,122,0.27,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Aerodactyl,142,0.28,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Ivysaur - 002/165,002,0.22,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Drowzee,096,0.07,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Omastar,139,0.18,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Weezing,110,0.18,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Vaporeon,134,0.2984,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Machamp,068,0.23,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Electabuzz,125,0.15,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Nidoking - 034/165,034,0.24,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Vulpix,037,0.1,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Jolteon,135,0.26,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Poliwag,060,0.09,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Dragonair - 148/165,148,0.15,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Jigglypuff,039,0.14,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Ninetales ex - 038/165,038,1.63,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Electrode,101,0.21,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Raichu,026,0.23,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Dodrio,085,0.19,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Marowak,105,0.23,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Clefairy,035,0.15,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Magikarp,129,0.19,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Haunter,093,0.18,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Cubone,104,0.1,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Charizard ex - 006/165,006,8.37,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Shellder,090,0.05,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Moltres,146,0.27,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Diglett,050,0.06,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Magmar,126,0.1,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Voltorb,100,0.06,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Weedle,013,0.07,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Growlithe,058,0.13,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Eevee,133,0.22,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Caterpie - 010/165,010,0.15,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Starmie,121,0.19,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Staryu,120,0.07,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Pidgey,016,0.17,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Tentacool,072,0.05,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Lickitung,108,0.08,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Ekans,023,0.08,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Vileplume,045,0.27,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Horsea,116,0.09,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Tangela - 114/165,114,0.07,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Abra,063,0.05,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Goldeen,118,0.04,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Erika's Invitation - 160/165,160,0.19,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Bellsprout,069,0.05,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Magneton,082,0.11,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Charmeleon - 005/165,005,0.2,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Geodude,074,0.1,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Paras,046,0.06,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Scyther,123,0.19,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Hitmonchan,107,0.16,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Bill's Transfer - 156/165,156,0.15,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Clefable,036,0.1,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Flareon,136,0.3,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Kangaskhan ex - 115/165,115,1.09,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Golem ex - 076/165,076,1.14,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Rattata,019,0.08,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Cloyster,091,0.07,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Grimer,088,0.06,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Seadra,117,0.09,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Zubat,041,0.06,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Alakazam ex - 065/165,065,1.37,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Machop,066,0.14,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Exeggcute,102,0.05,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Rhyhorn,111,0.05,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Krabby,098,0.06,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Spearow,021,0.12,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Kabuto,140,0.14,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Arcanine,059,0.17,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Mankey,056,0.05,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Pidgeotto,017,0.21,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
151 Booster Bundle,,178.85,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Primeape,057,0.07,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Meowth,052,0.09,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Pinsir,127,0.09,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Golbat,042,0.09,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Nidoran M,032,0.15,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Jynx ex - 124/165,124,1.1,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Butterfree,012,0.12,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Arbok ex - 024/165,024,1.2,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
Tentacruel,073,0.06,,,False,"API error: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /pricing-insight (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
